 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Faixa Etária 2 e Ano
Capital: 230440 Fortaleza
Período:2006-2021
"Faixa Etária 2";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"De 0 a 4 anos";189686;186487;184200;182503;179946;175706;171952;168287;165338;164148;164020;163895;164726;165313;164620;164077
"De 5 a 9 anos";215328;208249;200186;192225;186257;184125;182561;181876;181755;180764;176643;173011;169475;166659;165608;165583
"De 10 a 14 anos";228329;225953;223175;218856;212474;211161;208261;204325;200453;198626;196390;194766;194090;194014;192986;188701
"De 15 a 19 anos";238879;235526;232348;229853;228311;229231;230646;231825;231628;229431;227888;224646;220351;216030;213922;211469
"De 20 a 24 anos";242084;248138;252859;255799;256624;252182;246912;241188;235595;230571;231651;233263;234718;234730;232533;230969
"De 25 a 29 anos";214774;222463;230163;238069;246247;247238;248161;248703;248464;247201;243226;238414;233190;228138;223518;224896
"De 30 a 34 anos";192139;196852;202217;207725;213043;218241;223155;227860;232553;237304;238547;239728;240555;240598;239633;235978
"De 35 a 39 anos";181134;182206;183142;184598;186946;189762;193483;197824;202275;206534;211818;216830;221646;226452;231303;232698
"De 40 a 44 anos";166753;170320;173328;175956;178363;178972;179071;179106;179694;181221;184145;187954;192363;196890;201214;206539
"De 45 a 49 anos";132355;139399;146641;153265;158770;162531;165494;167747;169469;170814;171581;171861;172079;172836;174485;177460
"De 50 a 54 anos";103972;107915;112322;117561;123815;128365;133801;139612;145020;149557;153276;156256;158572;160386;161832;162703
"De 55 a 59 anos";86635;89310;91770;94326;97185;100271;103462;107000;111224;116317;120742;126001;131612;136851;141269;144913
"De 60 a 64 anos";61736;65686;69970;74055;77626;80502;83032;85377;87818;90551;93577;96701;100152;104245;109151;113427
"De 65 a 69 anos";50506;51264;51863;52903;54706;57473;60833;64507;68016;71077;73849;76309;78610;81001;83650;86576
"De 70 a 74 anos";35393;37614;40038;42111;43568;44713;45346;45811;46623;48076;50636;53723;57086;60302;63118;65697
"De 75 a 79 anos";26253;26217;26446;27047;28126;29336;31056;32955;34578;35707;36735;37352;37845;38635;39962;42212
"De 80 anos ou mais";28179;30218;32474;35075;37581;37923;38221;38569;39147;40025;41263;42825;44562;46262;47808;49493
"Total";2394135;2423817;2453142;2481927;2509588;2527732;2545447;2562572;2579650;2597924;2615987;2633535;2651632;2669342;2686612;2703391
 Fonte:
 
 Trabalho coordenado pela RIPSA.
 Realização: CGI Demográfico/RIPSA e CGIAE/SVSA/Ministério da Saúde.
 Dados básicos: IBGE
 Estes dados de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 são dados históricos. Para consultar os dados atuais, acesse
 http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/popsvs2024br.def

