 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Faixa Etária 2 e Ano
Capital: 355030 São Paulo
Período:2006-2021
"Faixa Etária 2";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"De 0 a 4 anos";825812;813774;805160;797458;789221;785149;786151;787457;789398;795045;797644;795839;795350;792797;785656;779817
"De 5 a 9 anos";899286;883132;862695;843881;829201;812265;800196;791719;784326;776648;772911;774259;775886;778181;784190;787114
"De 10 a 14 anos";852875;862269;873278;880126;879420;878949;868956;854946;842617;834429;817514;805589;797279;790079;782675;779315
"De 15 a 19 anos";927175;903321;880650;863348;853843;859262;871212;886366;898948;905187;904674;894418;880005;867374;859068;841885
"De 20 a 24 anos";1042675;1037996;1029666;1018429;1005239;982534;955513;927274;902064;882237;887734;899862;915174;927894;934311;933740
"De 25 a 29 anos";1042695;1059738;1074005;1084102;1089296;1082001;1070225;1054581;1035870;1014920;992323;965615;937666;912717;893087;898750
"De 30 a 34 anos";945059;964072;984795;1005158;1023882;1037625;1050418;1061203;1068584;1071596;1064460;1053113;1037926;1019805;999567;977788
"De 35 a 39 anos";866908;871976;878219;887455;900838;916338;935045;955721;976404;995588;1009375;1022355;1033312;1040999;1044568;1038085
"De 40 a 44 anos";801935;809055;815119;820054;824072;832545;840354;848702;859373;873333;889002;907868;928640;949409;968835;982939
"De 45 a 49 anos";719681;729790;738374;745907;752806;762424;771465;779962;787824;795128;803985;812272;821050;832091;846407;862368
"De 50 a 54 anos";608553;626925;644918;661665;676726;687558;696798;704733;711770;718199;728152;737594;746482;754786;762610;771876
"De 55 a 59 anos";483062;501114;518908;536958;555545;572595;589984;607153;623270;637824;648841;658418;666735;674202;681112;691381
"De 60 a 64 anos";353913;370888;389894;409470;428775;446729;464324;481805;499649;518056;534850;552025;568987;584981;599548;610715
"De 65 a 69 anos";282777;286356;290501;296896;306413;320934;338156;357254;376903;396300;413771;430962;448061;465530;483576;500127
"De 70 a 74 anos";214835;221266;228195;234717;240489;245792;250505;255690;262837;272722;286499;302717;320610;339025;357251;373795
"De 75 a 79 anos";163864;164543;166667;169506;173271;177865;183553;189784;195775;201205;206378;211097;216232;223068;232256;244766
"De 80 anos ou mais";158004;168135;179727;193757;207217;216452;225709;235056;244673;254620;264803;275884;287471;299085;310515;321911
"Total";11189109;11274350;11360771;11448887;11536254;11617017;11698564;11779406;11860285;11943037;12022916;12099887;12176866;12252023;12325232;12396372
 Fonte:
 
 Trabalho coordenado pela RIPSA.
 Realização: CGI Demográfico/RIPSA e CGIAE/SVSA/Ministério da Saúde.
 Dados básicos: IBGE
 Estes dados de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 são dados históricos. Para consultar os dados atuais, acesse
 http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/popsvs2024br.def

